VFID	VF category	multi_cat	vf_category0	vf_category1	vf_category2	vf_category3	vf_category0_subcat0	vf_category0_subcat1	vf_category0_subcat2	vf_category0_subcat3	vf_category0_subcat4	vf_category1_subcat0	vf_category1_subcat1	vf_category1_subcat2	vf_category1_subcat3	vf_category2_subcat0	vf_category2_subcat1	vf_category2_subcat2	vf_category3_subcat0	vf_category3_subcat1
VF1133	Adherence; Non-fimbrial adhesin; Autotransporter adhesin | Biofilm; Biofilm formation | Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va)	true	Adherence; Non-fimbrial adhesin; Autotransporter adhesin 	 Biofilm; Biofilm formation 	 Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va)		Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin 			 Biofilm	 Biofilm formation 			 Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)		
VF1134	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Cytolysin ClyA family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Cytolysin ClyA family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Alpha-PFT	 Cytolysin ClyA family									
VF1135	Exotoxin; Intracellularly active toxin; DNase/Genotoxin	false	Exotoxin; Intracellularly active toxin; DNase/Genotoxin				Exotoxin	 Intracellularly active toxin	 DNase/Genotoxin											
VF1136	Exotoxin	false	Exotoxin				Exotoxin													
VF1137	Regulation	false	Regulation				Regulation													
VF1138	Adherence; Fimbrial adhesin; Bacterial amyloid fibers; Curli | Biofilm; Biofilm formation	true	Adherence; Fimbrial adhesin; Bacterial amyloid fibers; Curli 	 Biofilm; Biofilm formation			Adherence	 Fimbrial adhesin	 Bacterial amyloid fibers	 Curli 		 Biofilm	 Biofilm formation							
VF1139	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF1140	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF1141	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVa pili (T4aP)										
VF1142	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF1144	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF1145	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF1146	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF1147	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF1148	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF1149	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF1150	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF1151	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF1152	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF1153	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF1154	Motility; Flagella-mediated motility	false	Motility; Flagella-mediated motility				Motility	 Flagella-mediated motility												
VF1157	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1158	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1160	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- non-hemophore-dependent	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- non-hemophore-dependent				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Heme uptake system	 Gram- non-hemophore-dependent									
VF1161	Effector delivery system; Type III secretion system (T3SS); T3SS components	false	Effector delivery system; Type III secretion system (T3SS); T3SS components				Effector delivery system	 Type III secretion system (T3SS)	 T3SS components											
VF1163	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)	 SPATE										
VF1164	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)	 SPATE										
VF1166	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)	 SPATE										
VF1167	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)	 SPATE										
VF1168	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE | Adherence; Non-fimbrial adhesin	true	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE 	 Adherence; Non-fimbrial adhesin			Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)	 SPATE 		 Adherence	 Non-fimbrial adhesin							
VF1169	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Trimeric autotransporter (type Vc)	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Trimeric autotransporter (type Vc)				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Trimeric autotransporter (type Vc)											
VF1170	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Trimeric autotransporter (type Vc)	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Trimeric autotransporter (type Vc)				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Trimeric autotransporter (type Vc)											
VF1171	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Trimeric autotransporter (type Vc)	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Trimeric autotransporter (type Vc)				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Trimeric autotransporter (type Vc)											
VF1172	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Trimeric autotransporter (type Vc)	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Trimeric autotransporter (type Vc)				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Trimeric autotransporter (type Vc)											
VF1173	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Trimeric autotransporter (type Vc)	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Trimeric autotransporter (type Vc)				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Trimeric autotransporter (type Vc)											
VF1174	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Trimeric autotransporter (type Vc) | Adherence; Non-fimbrial adhesin	true	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Trimeric autotransporter (type Vc) 	 Adherence; Non-fimbrial adhesin			Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Trimeric autotransporter (type Vc) 			 Adherence	 Non-fimbrial adhesin							
VF1175	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Trimeric autotransporter (type Vc)	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Trimeric autotransporter (type Vc)				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Trimeric autotransporter (type Vc)											
VF1176	Effector delivery system; Type VI secretion system (T6SS); T6SS components	false	Effector delivery system; Type VI secretion system (T6SS); T6SS components				Effector delivery system	 Type VI secretion system (T6SS)	 T6SS components											
VF1177	Effector delivery system; Type II secretion system (T2SS); T2SS components	false	Effector delivery system; Type II secretion system (T2SS); T2SS components				Effector delivery system	 Type II secretion system (T2SS)	 T2SS components											
VF1178	Effector delivery system; Type II secretion system (T2SS); T2SS components	false	Effector delivery system; Type II secretion system (T2SS); T2SS components				Effector delivery system	 Type II secretion system (T2SS)	 T2SS components											
VF1179	Exotoxin	false	Exotoxin				Exotoxin													
VF1180	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Alpha-PFT	 Colicin family									
VF1181	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Alpha-PFT	 Colicin family									
VF1182	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Alpha-PFT	 Colicin family									
VF1183	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Alpha-PFT	 Colicin family									
VF1184	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Alpha-PFT	 Colicin family									
VF1185	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Alpha-PFT	 Colicin family									
VF1186	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Alpha-PFT	 Colicin family									
VF1187	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Alpha-PFT	 Colicin family									
VF1188	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Alpha-PFT	 Colicin family									
VF1189	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Alpha-PFT	 Colicin family									
VF1190	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Alpha-PFT	 Colicin family									
VF1191	Adherence; Fimbrial adhesin; Bacterial amyloid fibers; Fap fiber	false	Adherence; Fimbrial adhesin; Bacterial amyloid fibers; Fap fiber				Adherence	 Fimbrial adhesin	 Bacterial amyloid fibers	 Fap fiber										
VF1192	Effector delivery system; Type VI secretion system (T6SS); T6SS effectors	false	Effector delivery system; Type VI secretion system (T6SS); T6SS effectors				Effector delivery system	 Type VI secretion system (T6SS)	 T6SS effectors											
VF1193	Effector delivery system; Type VI secretion system (T6SS); T6SS effectors	false	Effector delivery system; Type VI secretion system (T6SS); T6SS effectors				Effector delivery system	 Type VI secretion system (T6SS)	 T6SS effectors											
VF1194	Effector delivery system; Type VI secretion system (T6SS); T6SS effectors	false	Effector delivery system; Type VI secretion system (T6SS); T6SS effectors				Effector delivery system	 Type VI secretion system (T6SS)	 T6SS effectors											
VF1195	Effector delivery system; Type VI secretion system (T6SS); T6SS effectors	false	Effector delivery system; Type VI secretion system (T6SS); T6SS effectors				Effector delivery system	 Type VI secretion system (T6SS)	 T6SS effectors											
VF1196	Effector delivery system; Type VII secretion system (T7SS); T7SS effectors	false	Effector delivery system; Type VII secretion system (T7SS); T7SS effectors				Effector delivery system	 Type VII secretion system (T7SS)	 T7SS effectors											
VF1197	Effector delivery system; Type VII secretion system (T7SS); T7SS effectors	false	Effector delivery system; Type VII secretion system (T7SS); T7SS effectors				Effector delivery system	 Type VII secretion system (T7SS)	 T7SS effectors											
VF1198	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVa pili (T4aP)										
VF1199	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1200	Adherence; Fimbrial adhesin; Gram positive sortase anchoring pili	false	Adherence; Fimbrial adhesin; Gram positive sortase anchoring pili				Adherence	 Fimbrial adhesin	 Gram positive sortase anchoring pili											
VF1201	Adherence; Fimbrial adhesin; Gram positive sortase anchoring pili	false	Adherence; Fimbrial adhesin; Gram positive sortase anchoring pili				Adherence	 Fimbrial adhesin	 Gram positive sortase anchoring pili											
VF1202	Adherence; Fimbrial adhesin; Type IV pili; Type IVb pili (T4bP)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVb pili (T4bP)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVb pili (T4bP)										
VF1203	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1204	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1205	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1206	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1207	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF1208	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF1209	Adherence; Fimbrial adhesin; Type IV pili; Type IVb pili (T4bP)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVb pili (T4bP)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVb pili (T4bP)										
VF1210	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1211	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF1212	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVa pili (T4aP)										
VF1213	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF1214	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1215	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1216	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1217	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1218	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1219	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1220	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1221	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1222	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1223	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1224	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1225	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1226	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1227	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1228	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVa pili (T4aP)										
VF1229	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVa pili (T4aP)										
VF1230	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1231	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1232	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF1233	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF1234	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1235	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF1236	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF1237	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1238	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1239	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF1240	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVa pili (T4aP)										
VF1241	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Transferrin/Lactoferrin binding	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Transferrin/Lactoferrin binding				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Transferrin/Lactoferrin binding										
VF1242	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF1243	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF1244	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF1245	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF1246	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF1247	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- non-hemophore-dependent	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- non-hemophore-dependent				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Heme uptake system	 Gram- non-hemophore-dependent									
VF1248	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Transferrin/Lactoferrin binding	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Transferrin/Lactoferrin binding				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Transferrin/Lactoferrin binding										
VF1249	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Transferrin/Lactoferrin binding	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Transferrin/Lactoferrin binding				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Transferrin/Lactoferrin binding										
VF1250	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- non-hemophore-dependent	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- non-hemophore-dependent				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Heme uptake system	 Gram- non-hemophore-dependent									
VF1251	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF1252	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF1253	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- non-hemophore-dependent	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- non-hemophore-dependent				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Heme uptake system	 Gram- non-hemophore-dependent									
VF1254	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- hemophore-dependent	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- hemophore-dependent				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Heme uptake system	 Gram- hemophore-dependent									
VF1255	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va)	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va)				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)											
VF1256	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Trimeric autotransporter (type Vc)	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Trimeric autotransporter (type Vc)				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Trimeric autotransporter (type Vc)											
VF1257	Effector delivery system; Type IV secretion system (T4SS); Type IVA (T4ASS) components	false	Effector delivery system; Type IV secretion system (T4SS); Type IVA (T4ASS) components				Effector delivery system	 Type IV secretion system (T4SS)	 Type IVA (T4ASS) components											
VF1258	Effector delivery system; Type VI secretion system (T6SS); T6SS components	false	Effector delivery system; Type VI secretion system (T6SS); T6SS components				Effector delivery system	 Type VI secretion system (T6SS)	 T6SS components											
VF1259	Effector delivery system; Type III secretion system (T3SS); T3SS components	false	Effector delivery system; Type III secretion system (T3SS); T3SS components				Effector delivery system	 Type III secretion system (T3SS)	 T3SS components											
VF1260	Effector delivery system; Type III secretion system (T3SS); T3SS components	false	Effector delivery system; Type III secretion system (T3SS); T3SS components				Effector delivery system	 Type III secretion system (T3SS)	 T3SS components											
